"cell_type"	"value"	"long_method"	"dataset"	"dataset2"	"ndim"
"T24"	0.0694323144104804	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.00576701268742791	"ArchR_tiles"	"Cell line"	"Cell_line_mixing"	15
"293T"	0.00364656381486676	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.0338696020321761	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.192902982257456	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.0838112042346714	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.0114587924195681	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0433412135539795	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.026530612244898	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"T24"	0.0868995633187773	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.0115340253748558	"ArchR_peaks"	"Cell line"	"Cell_line_mixing"	15
"293T"	0	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.0220152413209145	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.00397000441111601	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.00176289114147201	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0559495665878645	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0.00784313725490196	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.00204081632653061	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"T24"	0.000436681222707424	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.0069204152249135	"SnapATAC"	"Cell line"	"Cell_line_mixing"	15
"293T"	0	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.000423370025402202	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.000377500943752359	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.000441111601235112	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.000440722785368004	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0086682427107959	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0.00588235294117647	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.00204081632653061	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"T24"	0	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.00346020761245675	"aggregation"	"Cell line"	"Cell_line_mixing"	15
"293T"	0	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.0300592718035563	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.0143450358625897	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.0167622408469343	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.00881445570736007	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0630417651694247	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0.0529411764705882	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.0387755102040816	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"T24"	0.0676855895196507	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.0126874279123414	"SnapATAC2_jaccard"	"Cell line"	"Cell_line_mixing"	15
"293T"	0	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"GM12878"	0.0681625740897544	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"HT1080"	0.00830502076255191	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"HeLa"	0.00573445081605646	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"Jurkat"	0.00528867342441604	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"K562"	0.0488573680063042	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"MCF10A"	0.0352941176470588	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"MCF7"	0.0408163265306122	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"T24"	0.0262008733624454	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"THP1"	0.00922722029988466	"SnapATAC2_cosine"	"Cell line"	"Cell_line_mixing"	15
"Alveolar_Type_1_Cell"	0	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.1	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.7828125	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0.00175233644859813	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.00393258426966292	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.0755864465682016	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0.000333555703802535	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.111111111111111	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.249221183800623	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.206827309236948	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0.011989509179468	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0.00648379052369077	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.0166453265044814	"Signac_by_cluster_peaks"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.113513513513514	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.801953125	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0.00175233644859813	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.00280898876404494	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.0703735881841877	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0.000333555703802535	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.0950080515297907	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.251557632398754	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.180722891566265	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0.00899213188460097	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0.00448877805486284	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.0132309005548442	"Signac_all_cell_peaks"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0.28169014084507	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.145945945945946	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.277734375	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.158426966292135	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.172893136403128	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0.157104736490994	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.236714975845411	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.670560747663551	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.295180722891566	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0.11989509179468	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0.162094763092269	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.263764404609475	"ArchR_tiles"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0.23943661971831	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.124324324324324	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.244140625	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.135393258426966	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.17115551694179	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0.148432288192128	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.223832528180354	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.636292834890966	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.289156626506024	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0.111652304233795	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0.151122194513716	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.259923175416133	"ArchR_peaks"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0.028169014084507	"SnapATAC"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.0243243243243243	"SnapATAC"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.0171875	"SnapATAC"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0	"SnapATAC"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.00393258426966292	"SnapATAC"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.0390964378801043	"SnapATAC"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0.000333555703802535	"SnapATAC"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.0112721417069243	"SnapATAC"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.0101246105919003	"SnapATAC"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.0200803212851406	"SnapATAC"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0	"SnapATAC"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0	"SnapATAC"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.00128040973111396	"SnapATAC"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0	"aggregation"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.0027027027027027	"aggregation"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.004296875	"aggregation"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0.00058411214953271	"aggregation"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.0432584269662921	"aggregation"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.00173761946133797	"aggregation"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0	"aggregation"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0	"aggregation"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.0171339563862928	"aggregation"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.0321285140562249	"aggregation"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0.00112401648557512	"aggregation"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0.000498753117206983	"aggregation"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.0456679470763978	"aggregation"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0.0422535211267606	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.0405405405405405	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.07734375	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0.0210280373831776	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.364606741573034	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.1624674196351	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0.0587058038692462	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.0322061191626409	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.222741433021807	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0.0599475458973398	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0.0443890274314214	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.192061459667093	"SnapATAC2_jaccard"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0.0328638497652582	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Colonic_Goblet_Cell"	0.0351351351351351	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Esophageal_Epithelial_Cell"	0.0328125	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Hepatocyte"	0	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Luteal_Cell_Ovarian"	0.00280898876404494	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Mammary_Epithelial"	0.0469157254561251	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Pancreatic_Acinar_Cell"	0	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Parietal_Cell"	0.0161030595813204	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Small_Intestinal_Enterocyte"	0.0716510903426791	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Smooth_Muscle_GE_Junction"	0.0240963855421687	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Thyroid_Follicular_Cell"	0	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Type_I_Skeletal_Myocyte"	0	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Vascular_Smooth_Muscle_1"	0.00170721297481861	"SnapATAC2_cosine"	"Atlas1"	"candidate1"	15
"Alveolar_Type_1_Cell"	0.149295774647887	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.0038860103626943	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0.0572687224669604	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.000674081563869228	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.396246089676747	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0.104247104247104	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.168195718654434	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0.258411214953271	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0.00545851528384279	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.343558282208589	"Signac_all_cell_peaks"	"Atlas2"	"candidate2"	15
"Alveolar_Type_1_Cell"	0.163380281690141	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.00345423143350604	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0.0550660792951542	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.000674081563869228	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.292492179353493	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0.147683397683398	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.17737003058104	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0.263551401869159	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0.00491266375545852	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.328732106339468	"Signac_by_cluster_peaks"	"Atlas2"	"candidate2"	15
"Alveolar_Type_1_Cell"	0.236619718309859	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.107512953367876	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0.182819383259912	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.390293225480283	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.216371220020855	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0.185328185328185	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.207951070336391	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0.397196261682243	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0.0518558951965066	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.625255623721881	"ArchR_peaks"	"Atlas2"	"candidate2"	15
"Alveolar_Type_1_Cell"	0.0197183098591549	"SnapATAC"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.0142487046632124	"SnapATAC"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0.0308370044052863	"SnapATAC"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.0529154027637344	"SnapATAC"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.0698644421272158	"SnapATAC"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0.00868725868725869	"SnapATAC"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.0152905198776758	"SnapATAC"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0	"SnapATAC"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0.000545851528384279	"SnapATAC"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.0899795501022495	"SnapATAC"	"Atlas2"	"candidate2"	15
"Alveolar_Type_1_Cell"	0	"aggregation"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.00129533678756477	"aggregation"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0	"aggregation"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.0343781597573306	"aggregation"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.00104275286757039	"aggregation"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0	"aggregation"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.0152905198776758	"aggregation"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0.0317757009345794	"aggregation"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0.0240174672489083	"aggregation"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.00715746421267894	"aggregation"	"Atlas2"	"candidate2"	15
"Alveolar_Type_1_Cell"	0.0028169014084507	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.00474956822107081	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0.0220264317180617	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.0589821368385575	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.00312825860271116	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.0122324159021407	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0.00186915887850467	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.0434560327198364	"SnapATAC2_jaccard"	"Atlas2"	"candidate2"	15
"Alveolar_Type_1_Cell"	0.0140845070422535	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Colon_Epithelial_Cell_1"	0.00863557858376511	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Ductal_Cell_Pancreatic"	0.0308370044052863	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Luteal_Cell_Ovarian"	0.000337040781934614	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Mammary_Epithelial"	0.0761209593326382	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Parietal_Cell"	0	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Peripheral_Nerve_Stromal"	0.0214067278287462	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Small_Intestinal_Enterocyte"	0.0233644859813084	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Smooth_Muscle_Uterine"	0.00109170305676856	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"Vascular_Smooth_Muscle_2"	0.0633946830265849	"SnapATAC2_cosine"	"Atlas2"	"candidate2"	15
"CLP"	0.102564102564103	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"CMP"	0.876494023904382	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"GMP"	0.398148148148148	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"HSC"	0.662824207492795	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"LMPP"	0.1375	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"MEP"	0.311594202898551	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"MPP"	0.0563380281690141	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"mono"	0.109375	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"pDC"	0.0735294117647059	"Signac_all_cell_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"CLP"	0.102564102564103	"Signac_by_cluster_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"CMP"	0.814741035856574	"Signac_by_cluster_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"GMP"	0.375	"Signac_by_cluster_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"HSC"	0.642651296829971	"Signac_by_cluster_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"LMPP"	0.1375	"Signac_by_cluster_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
"MEP"	0.557971014492754	"Signac_by_cluster_peaks"	"Buenrostro2018"	"Buenrostro_2018"	15
